PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, BLKM
Station name, Upper_Block_Midd
Begin Date, 2017-01-15
End Date, 2018-01-23
Release Date, 2018-02-13
Source file, BLKM.pbo.nam08.pos
Offset from source file, -1.72 mm North, -33.08 mm East, -7.46 mm Vertical
Reference position, 42.6131348870 North Latitude, -114.8905526888 East Longitude, 1079.34090 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2017-09-02,4.49, -91.80, -81.64, 2.07, 1.72, 7.09, suppl,
2017-09-03,4.52, -91.36, -80.14, 2.14, 1.78, 7.45, suppl,
2017-09-04,5.12, -91.48, -77.73, 2.13, 1.74, 7.39, suppl,
2017-09-05,4.46, -92.06, -79.38, 2.11, 1.73, 7.31, suppl,
2017-09-06,4.92, -92.26, -80.41, 2.06, 1.68, 7.11, suppl,
2017-09-07,4.21, -92.46, -76.98, 2.13, 1.76, 7.43, suppl,
2017-09-08,4.55, -92.99, -76.95, 2.23, 1.79, 7.75, suppl,
2017-09-09,4.32, -92.01, -77.17, 2.1, 1.73, 7.33, suppl,
2017-09-10,4.55, -94.48, -83.20, 2.16, 1.74, 7.95, suppf,
2017-09-11,4.38, -92.88, -76.86, 2.11, 1.71, 7.22, suppl,
2017-09-12,4.94, -93.63, -78.70, 2.15, 1.77, 7.41, suppl,
2017-09-13,4.34, -93.78, -72.26, 2.07, 1.69, 6.93, suppl,
2017-09-14,4.47, -92.92, -70.37, 2.15, 1.73, 7.18, suppl,
2017-09-15,4.03, -93.11, -74.58, 2.07, 1.68, 6.9, suppl,
2017-09-16,5.57, -93.87, -78.48, 2.12, 1.74, 7.27, suppl,
2017-09-17,4.73, -93.77, -76.94, 2.07, 1.7, 7.1, suppl,
2017-09-18,4.21, -93.99, -73.08, 2.09, 1.73, 7.08, suppl,
2017-09-19,3.22, -95.38, -70.98, 2.05, 1.7, 6.97, suppl,
2017-09-20,3.92, -93.64, -71.04, 2.11, 1.73, 7.25, suppl,
2017-09-21,3.67, -94.86, -67.74, 1.99, 1.65, 6.82, suppl,
2017-09-22,4.20, -94.93, -78.08, 2, 1.66, 6.97, suppl,
2017-09-23,4.15, -94.69, -77.03, 1.99, 1.67, 6.96, suppl,
2017-09-24,4.39, -96.26, -72.43, 2.01, 1.7, 6.94, suppl,
2017-09-25,4.24, -95.37, -78.74, 2.02, 1.72, 7.01, suppl,
2017-09-26,4.33, -95.57, -77.50, 2.02, 1.7, 7.01, suppl,
2017-09-27,4.70, -95.91, -84.01, 2.06, 1.74, 7.19, suppl,
2017-09-28,5.13, -95.31, -87.45, 2.07, 1.74, 7.17, suppl,
2017-09-29,5.01, -95.83, -84.74, 2.07, 1.75, 7.17, suppl,
2017-09-30,3.78, -97.59, -82.25, 2.15, 1.82, 7.36, suppl,
2017-10-01,4.29, -98.42, -79.12, 2.09, 1.74, 7.14, suppl,
2017-10-02,4.08, -98.39, -78.83, 2.03, 1.71, 7.03, suppl,
2017-10-03,5.45, -97.25, -89.96, 2.04, 1.72, 7.08, suppl,
2017-10-04,4.47, -98.12, -89.58, 2.11, 1.76, 7.27, suppl,
2017-10-05,5.14, -99.35, -85.63, 2.03, 1.7, 6.98, suppl,
2017-10-06,4.34, -100.32, -88.11, 2.06, 1.74, 7.09, suppl,
2017-10-07,4.00, -99.55, -76.94, 2.09, 1.76, 7.18, suppl,
2017-10-08,5.11, -100.23, -85.52, 2.13, 1.8, 7.43, suppl,
2017-10-09,5.80, -99.76, -90.53, 2.06, 1.73, 7.2, suppl,
2017-10-10,5.50, -100.36, -91.31, 2.06, 1.73, 7.24, suppl,
2017-10-11,4.96, -100.91, -87.37, 2.05, 1.72, 7.13, suppl,
2017-10-12,6.41, -102.25, -93.37, 2.12, 1.76, 7.27, suppl,
2017-10-13,5.12, -102.93, -92.65, 2.06, 1.73, 7.22, suppl,
2017-10-14,6.15, -103.14, -96.89, 2.04, 1.71, 7.13, suppl,
2017-10-15,5.87, -103.04, -102.98, 2.03, 1.69, 7.06, suppl,
2017-10-16,6.14, -104.03, -97.55, 2.06, 1.71, 7.15, suppl,
2017-10-17,6.45, -104.54, -99.43, 2.11, 1.75, 7.3, suppl,
2017-10-18,5.35, -104.45, -94.76, 2.11, 1.75, 7.16, suppl,
2017-10-19,5.55, -105.85, -89.46, 2.17, 1.84, 7.42, suppl,
2017-10-20,6.53, -105.49, -88.01, 2.22, 1.89, 7.71, suppl,
2017-10-21,6.10, -107.23, -95.16, 2.09, 1.78, 7.27, suppl,
2017-10-22,6.05, -107.56, -98.05, 2.06, 1.79, 7.12, suppl,
2017-10-23,6.81, -109.08, -110.97, 2.06, 1.77, 7.09, suppl,
2017-10-24,6.90, -108.85, -110.07, 2.04, 1.75, 7.05, suppl,
2017-10-25,6.82, -109.61, -102.93, 2.02, 1.73, 7.04, suppl,
2017-10-26,6.94, -110.89, -102.67, 2.06, 1.75, 7.25, suppl,
