datetime	cfs
10/7/2017	312
10/8/2017	296
10/9/2017	291
10/10/2017	291
10/11/2017	287
10/12/2017	286
10/13/2017	313
10/14/2017	310
10/15/2017	323
10/16/2017	334
10/17/2017	312
10/18/2017	301
10/19/2017	303
10/20/2017	323
10/21/2017	343
10/22/2017	346
10/23/2017	342
10/24/2017	340
10/25/2017	337
10/26/2017	344
10/27/2017	322
10/28/2017	294
10/29/2017	242
10/30/2017	221
10/31/2017	213
11/1/2017	212
11/2/2017	207
11/3/2017	199
11/4/2017	198
11/5/2017	195
11/6/2017	190
11/7/2017	188
11/8/2017	185
11/9/2017	186
11/10/2017	186
11/11/2017	188
11/12/2017	186
11/13/2017	186
11/14/2017	186
11/15/2017	191
11/16/2017	194
11/17/2017	192
11/18/2017	189
11/19/2017	186
11/20/2017	185
11/21/2017	186
11/22/2017	184
11/23/2017	183
11/24/2017	184
11/25/2017	184
11/26/2017	182
11/27/2017	184
11/28/2017	179
11/29/2017	180
11/30/2017	190
12/1/2017	179
12/2/2017	199
12/3/2017	187
12/4/2017	174
12/5/2017	173
12/6/2017	173
12/7/2017	172
12/8/2017	168
12/9/2017	167
12/10/2017	168
12/11/2017	166
12/12/2017	161
12/13/2017	168
12/14/2017	165
12/15/2017	167
12/16/2017	167
12/17/2017	163
12/18/2017	165
12/19/2017	163
12/20/2017	165
12/21/2017	158
12/22/2017	157
12/23/2017	158
12/24/2017	156
12/25/2017	157
12/26/2017	156
12/27/2017	158
12/28/2017	154
12/29/2017	154
12/30/2017	154
12/31/2017	153
1/1/2018	151
1/2/2018	148
1/3/2018	147
1/4/2018	148
1/5/2018	150
1/6/2018	152
1/7/2018	153
1/8/2018	159
1/9/2018	170
1/10/2018	158
1/11/2018	157
1/12/2018	154
1/13/2018	147
1/14/2018	149
1/15/2018	145
1/16/2018	144
1/17/2018	144
1/18/2018	145
1/19/2018	146
1/20/2018	145
1/21/2018	144
1/22/2018	144
1/23/2018	142
1/24/2018	141
1/25/2018	141
1/26/2018	140
1/27/2018	139
1/28/2018	139
1/29/2018	138
1/30/2018	135
1/31/2018	129
2/1/2018	129
2/2/2018	128
2/3/2018	130
2/4/2018	127
2/5/2018	125
2/6/2018	122
2/7/2018	118
2/8/2018	118
2/9/2018	118
2/10/2018	117
2/11/2018	116
2/12/2018	116
2/13/2018	115
2/14/2018	115
2/15/2018	114
2/16/2018	114
2/17/2018	115
2/18/2018	116
2/19/2018	115
2/20/2018	111
2/21/2018	105
2/22/2018	104
2/23/2018	111
2/24/2018	114
2/25/2018	114
2/26/2018	114
2/27/2018	112
